year,month,frequency,index_value,binary_index,cluster_count,total_count,similarity
2018,12,1.0,1.1416800593332777,1.0,1,1,100.0
2019,1,1.0,1.1416800593332777,1.0,1,1,100.0
2019,2,0.0,-0.8719918563411648,0.0,0,1,0.0
2019,12,0.0,-0.8719918563411648,0.0,0,1,0.0
2020,1,0.0,-0.8719918563411648,0.0,0,1,0.0
2020,2,0.0,-0.8719918563411648,0.0,0,1,0.0
2020,12,0.0,-0.8719918563411648,0.0,0,1,0.0
2021,1,0.0,-0.8719918563411648,0.0,0,1,0.0
2021,2,0.0,-0.8719918563411648,0.0,0,1,0.0
2021,12,0.0,-0.8719918563411648,0.0,0,1,0.0
2022,1,0.0,-0.8719918563411648,0.0,0,1,0.0
2022,2,0.0,-0.8719918563411648,0.0,0,1,0.0
2022,12,0.0,-0.8719918563411648,0.0,0,1,0.0
2023,1,0.0,-0.8719918563411648,0.0,0,1,0.0
2023,2,0.0,-0.8719918563411648,0.0,0,1,0.0
2023,12,0.0,-0.8719918563411648,0.0,0,1,0.0
2024,1,0.0,-0.8719918563411648,0.0,0,1,0.0
2024,2,0.0,-0.8719918563411648,0.0,0,1,0.0
